ID;RegioS;Perioden;Mannen_2;Vrouwen_3;TotaalMetMigratieachtergrond_35;Bevolkingsdichtheid_57;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;TypeEenpersoonshuishouden_133;TypeEenoudergezin_134;TypePaarZonderKind_135;TypePaarMetKindEren_136;BronInkomenAlsWerknemer_137;BronInkomenAlsZelfstandige_138;Werkloosheid_155
15451;GM0273;2018JJ00;12041;12272;1869;285;    66.9;    31.9;     1.2;     8.7;     9.6;    25.8;    25.6;    34.5;    34.7;    31.8;    47.3;200
15452;GM0273;2019JJ00;11992;12206;1869;284;    67.4;    32.2;     0.4;     8.5;     9.6;    26.9;    27.7;    39.4;    38.5;    33.8;    55.3;200
15478;GM0177;2017JJ00;18549;18358;2249;216;    67.1;    32.5;     0.4;    13.4;    15.1;    23.7;    24.2;    31.6;    32.6;    31.1;    41.1;640
15479;GM0177;2018JJ00;18638;18520;2319;217;    67.5;    32.2;     0.3;    14.6;    15.3;    24.3;    24.7;    31.3;    33.1;    31.5;    42.0;460
15480;GM0177;2019JJ00;18853;18658;2428;219;    68.8;    31.0;     0.2;    15.3;    15.5;    25.1;    26.0;    34.8;    35.4;    32.8;    51.3;380
15506;GM0834;2017JJ00;;;;;;;;;;;;;;;;
15507;GM0834;2018JJ00;;;;;;;;;;;;;;;;
15508;GM0834;2019JJ00;;;;;;;;;;;;;;;;
15534;GM0835;2017JJ00;;;;;;;;;;;;;;;;
15535;GM0835;2018JJ00;;;;;;;;;;;;;;;;
15536;GM0835;2019JJ00;;;;;;;;;;;;;;;;
15562;GM0595;2017JJ00;;;;;;;;;;;;;;;;
15563;GM0595;2018JJ00;;;;;;;;;;;;;;;;
15564;GM0595;2019JJ00;;;;;;;;;;;;;;;;
15590;GM1661;2017JJ00;;;;;;;;;;;;;;;;
15591;GM1661;2018JJ00;;;;;;;;;;;;;;;;
15592;GM1661;2019JJ00;;;;;;;;;;;;;;;;
15618;GM0703;2017JJ00;11257;11099;2925;220;    67.4;    30.4;     2.2;     8.4;     8.7;    23.5;    24.0;    31.8;    30.8;    29.2;    40.6;310
15619;GM0703;2018JJ00;11335;11220;3137;222;    68.3;    29.6;     2.1;     8.6;     8.9;    23.3;    24.3;    31.6;    31.2;    29.2;    41.6;280
15620;GM0703;2019JJ00;11404;11274;3366;223;    69.0;    29.6;     1.5;     9.1;     9.0;    25.0;    25.0;    34.8;    34.0;    30.6;    47.9;220
15646;GM0274;2017JJ00;15318;16073;4718;683;    61.4;    38.0;     0.7;     9.9;    14.3;    26.9;    26.9;    36.6;    37.9;    34.8;    44.4;500
15647;GM0274;2018JJ00;15323;16015;4739;682;    62.0;    37.4;     0.7;    10.3;    14.3;    26.7;    26.7;    36.4;    38.6;    35.2;    49.6;420
15648;GM0274;2019JJ00;15293;16009;4789;681;    62.8;    36.9;     0.3;    10.5;    14.3;    29.9;    29.0;    40.6;    42.2;    36.1;    62.7;390
15674;GM0339;2017JJ00;2540;2561;300;277;    73.2;    26.7;     0.1;     3.9;     1.9;    25.9;       .;    37.6;    35.7;    32.4;    45.7;50
15675;GM0339;2018JJ00;2591;2584;322;281;    73.5;    26.5;     0.1;     3.3;     1.9;    27.8;       .;    36.5;    36.6;    32.9;    50.0;30
15676;GM0339;2019JJ00;2625;2634;359;286;    74.4;    25.2;     0.4;     3.2;     2.0;    28.3;       .;    38.6;    41.0;    34.4;    54.8;30
15702;GM0836;2017JJ00;;;;;;;;;;;;;;;;
15703;GM0836;2018JJ00;;;;;;;;;;;;;;;;
15704;GM0836;2019JJ00;;;;;;;;;;;;;;;;
15730;GM1667;2017JJ00;6635;6273;1117;166;    77.2;    21.3;     1.5;     3.0;     5.3;    25.3;    28.3;    33.0;    35.1;    32.5;    43.5;190
15731;GM1667;2018JJ00;6708;6332;1173;167;    77.9;    20.5;     1.5;     3.3;     5.4;    25.6;    28.0;    32.4;    35.4;    33.1;    42.8;160
